step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
44640,5,168,363,49.1827,0.13162,-0.00395,0.06053,-0.0286,0.001135,0.0265,0.00564,0.00025,3,40,40,100.0
44928,6,169,1,-4.0,0.09005,-0.00183,0.04231,-0.0477,0.001236,-0.0145,0.01016,0.00025,3,62,63,100.0
45216,7,170,370,51.0839,0.07833,-0.00674,0.04595,-0.0349,0.005177,-0.0447,0.01319,0.00025,3,42,43,100.0
45504,8,171,1,-4.0,0.05669,-0.00318,0.04005,-0.0323,0.003794,0.1292,0.00773,0.00025,2,41,42,100.0
45792,9,171,1,-4.0,0.01386,-8e-05,0.01237,-0.0012,0.0,0.112,0.0,0.00025,1,41,42,100.0
46080,10,172,453,85.2872,0.06747,-0.00719,0.03205,-0.0225,0.001036,0.0694,0.01042,0.00025,1,41,41,100.0
46368,11,173,368,98.5876,0.05092,-0.00352,0.04694,-0.0326,0.001194,-0.1698,0.00851,0.00025,2,45,45,99.7
46656,12,173,368,98.5876,0.15288,-0.0038,0.09301,-0.0555,0.00184,0.1517,0.01033,0.00025,2,45,45,99.7
46944,13,174,419,106.9401,0.06564,-0.00175,0.05541,-0.022,0.001951,0.0422,0.00703,0.00025,3,41,41,99.9
47232,14,175,347,63.5553,0.11501,-0.00335,0.04987,-0.0307,0.00189,-0.0725,0.00694,0.00025,3,48,49,100.0
47520,15,176,372,88.7724,0.06628,-0.00604,0.04955,-0.0735,0.002802,0.1764,0.02491,0.00025,2,44,44,99.7
47808,16,176,372,88.7724,0.04754,-0.00344,0.0406,-0.0253,0.002107,0.0947,0.00668,0.00025,3,44,44,99.7
48096,17,177,421,93.1167,0.11759,-0.00193,0.03184,-0.018,0.000803,-0.0061,0.00304,0.00025,3,55,55,99.7
48384,18,178,464,120.6751,0.03347,-0.0029,0.02612,-0.0152,0.00051,-0.0011,0.00252,0.00025,2,47,47,100.0
48672,19,178,464,120.6751,0.01432,-0.00012,0.00844,-0.0017,0.000114,-0.3187,0.00052,0.00025,2,47,47,100.0
48960,20,179,363,115.6083,0.04788,-0.01044,0.03916,-0.0227,0.002214,0.0277,0.00955,0.00025,2,56,57,99.5
49248,21,180,328,52.4973,0.0566,-0.00494,0.02444,-0.0177,0.000968,0.1247,0.00599,0.00025,2,43,43,97.3
49536,22,181,362,50.5356,0.17005,-0.0102,0.08082,-0.101,0.003034,0.1253,0.02552,0.00025,3,40,42,100.0
49824,23,182,398,63.3521,0.18115,-0.00557,0.08641,-0.0968,0.001549,0.1497,0.01519,0.00025,2,45,45,98.6
50112,24,182,398,63.3521,0.0264,-0.00098,0.0203,-0.0136,0.000644,0.1399,0.00295,0.00025,2,45,45,98.6
50400,25,183,445,109.5126,0.04928,-0.00455,0.0315,-0.0234,0.000633,0.0426,0.00729,0.00025,3,43,43,99.0
50688,26,184,436,122.323,0.1097,-0.00293,0.04657,-0.0297,0.001005,-0.072,0.01024,0.00025,3,54,54,100.0
50976,27,184,436,122.323,0.06095,-0.00275,0.05861,-0.049,0.006631,0.092,0.01866,0.00025,3,54,54,100.0
51264,28,185,341,53.5144,0.06164,-0.00412,0.04528,-0.02,0.000642,-0.0902,0.00642,0.00025,3,43,43,95.2
51552,29,186,495,96.9877,0.0733,-0.00378,0.02743,-0.0138,0.000572,-0.1606,0.00564,0.00025,2,54,56,100.0
51840,30,186,495,96.9877,0.03363,-0.00475,0.0417,-0.0291,0.003136,0.2053,0.00868,0.00025,2,54,56,100.0
52128,31,187,340,110.4768,0.13189,-0.00805,0.06129,-0.0426,0.001159,-0.0734,0.01207,0.00025,2,38,38,100.0
52416,32,188,416,54.8836,0.04835,0.00066,0.02327,-0.0043,7.8e-05,-0.4251,0.0013,0.00025,1,41,41,99.7
52704,33,189,1,-4.0,0.07508,-0.00699,0.06371,-0.0466,0.000903,-0.0083,0.01128,0.00025,2,41,42,98.7
52992,34,190,382,118.0515,0.03401,-0.0022,0.02809,-0.0088,0.000606,-0.8467,0.00347,0.00025,3,45,45,99.7
53280,35,190,382,118.0515,0.08993,-0.00266,0.05353,-0.0392,0.001341,0.056,0.0112,0.00025,2,45,45,99.7
53568,36,191,415,68.8339,0.0254,-0.00137,0.014,-0.0025,6.5e-05,-0.6883,0.00052,0.00025,2,50,51,100.0
53856,37,192,433,120.5528,0.0766,-0.00601,0.03627,-0.0257,0.001496,0.0526,0.00651,0.00025,1,49,50,100.0
54144,38,192,433,120.5528,0.06799,-0.00467,0.03387,-0.01,0.00097,0.0115,0.00382,0.00025,2,49,50,100.0
54432,39,193,368,61.4287,0.01892,-6e-05,0.01231,-0.0013,8e-06,-0.3774,0.0,0.00025,2,37,38,97.4
54720,40,194,423,66.8887,0.05104,-0.00354,0.03225,-0.0214,0.000677,0.0229,0.00686,0.00025,2,50,50,97.7
55008,41,195,336,48.3482,0.0502,-0.01007,0.03557,-0.0627,0.011705,-0.0437,0.06155,0.00025,2,38,38,100.0
55296,42,195,336,48.3482,0.04763,-0.01309,0.02834,-0.1048,0.159623,0.0786,0.02821,0.00025,3,38,38,100.0
55584,43,196,388,72.1859,0.01815,-0.00422,0.01202,-0.1232,0.015456,-0.0123,0.04974,0.00025,2,57,57,98.5
55872,44,197,466,116.9731,0.09043,-0.00634,0.05773,-0.0705,0.001479,0.0258,0.01762,0.00025,3,41,41,100.0
56160,45,197,466,116.9731,0.11669,-0.01549,0.07261,-0.1231,0.005589,0.0914,0.03203,0.00025,2,41,41,100.0
56448,46,198,1,-4.0,0.09003,-0.00639,0.06504,-0.0408,0.001303,0.0414,0.00755,0.00025,2,52,52,100.0
