time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,sigma0,sigma1,sigma2,cx,cy,cz,battery_pct,action_name,action_idx
135.0,-3618476.587,-5982632.045,1000381.179,-368.730,1456.094,7359.053,0.002106,0.010747,-0.021611,0.037079,0.010524,0.999257,99.98,DRIFT,48
136.0,-3618845.348,-5981175.827,1007740.859,-364.633,1462.868,7357.917,0.001082,0.014360,-0.018850,0.051571,0.015361,0.998551,99.98,DRIFT,48
137.0,-3619214.110,-5979719.609,1015100.538,-360.536,1469.642,7356.781,0.000059,0.017974,-0.016090,0.066044,0.020192,0.997612,99.98,DRIFT,48
138.0,-3619582.871,-5978263.391,1022460.217,-356.439,1476.416,7355.646,-0.000965,0.021587,-0.013330,0.080489,0.025014,0.996442,99.98,DRIFT,48
139.0,-3619951.632,-5976807.173,1029819.897,-352.342,1483.190,7354.510,-0.001988,0.025200,-0.010569,0.094894,0.029823,0.995041,99.98,DRIFT,48
140.0,-3620320.394,-5975350.955,1037179.576,-348.245,1489.964,7353.374,-0.003011,0.028814,-0.007809,0.109251,0.034616,0.993411,99.98,DRIFT,48
141.0,-3620689.155,-5973894.737,1044539.255,-344.148,1496.738,7352.238,-0.004035,0.032427,-0.005048,0.123549,0.039390,0.991556,99.98,DRIFT,48
142.0,-3621057.916,-5972438.519,1051898.935,-340.051,1503.512,7351.103,-0.005058,0.036040,-0.002288,0.137778,0.044142,0.989479,99.98,DRIFT,48
143.0,-3621426.678,-5970982.301,1059258.614,-335.953,1510.286,7349.967,-0.006082,0.039653,0.000472,0.151931,0.048869,0.987182,99.98,DRIFT,48
144.0,-3621795.439,-5969526.083,1066618.294,-331.856,1517.060,7348.831,-0.007105,0.043267,0.003233,0.165997,0.053567,0.984670,99.98,DRIFT,48
145.0,-3622164.200,-5968069.865,1073977.973,-327.759,1523.834,7347.695,-0.008129,0.046880,0.005993,0.179967,0.058233,0.981947,99.97,DRIFT,48
146.0,-3622532.962,-5966613.647,1081337.652,-323.662,1530.607,7346.559,-0.009152,0.050493,0.008754,0.193834,0.062865,0.979018,99.97,DRIFT,48
147.0,-3622901.723,-5965157.429,1088697.332,-319.565,1537.381,7345.424,-0.010176,0.054107,0.011514,0.207589,0.067461,0.975887,99.97,DRIFT,48
148.0,-3623270.485,-5963701.211,1096057.011,-315.468,1544.155,7344.288,-0.011199,0.057720,0.014274,0.221224,0.072016,0.972560,99.97,DRIFT,48
149.0,-3623639.246,-5962244.993,1103416.690,-311.371,1550.929,7343.152,-0.012222,0.061333,0.017035,0.234731,0.076530,0.969043,99.97,DRIFT,48
150.0,-3624008.007,-5960788.775,1110776.370,-307.274,1557.703,7342.016,-0.013246,0.064947,0.019795,0.248105,0.080999,0.965341,99.97,DRIFT,48
150.0,-3624008.007,-5960788.775,1110776.370,-307.274,1557.703,7342.016,-0.013246,0.064947,0.019795,0.248105,0.080999,0.965341,99.97,DRIFT,48
151.0,-3624253.690,-5959130.118,1118098.224,-303.166,1564.424,7340.631,-0.013578,0.061248,0.021144,0.234026,0.080396,0.968901,99.97,DRIFT,48
152.0,-3624499.373,-5957471.461,1125420.077,-299.059,1571.145,7339.245,-0.013909,0.057549,0.022493,0.219810,0.079772,0.972276,99.97,DRIFT,48
153.0,-3624745.056,-5955812.804,1132741.931,-294.951,1577.866,7337.859,-0.014241,0.053850,0.023842,0.205464,0.079127,0.975461,99.97,DRIFT,48
154.0,-3624990.739,-5954154.147,1140063.785,-290.844,1584.587,7336.474,-0.014573,0.050151,0.025190,0.190995,0.078461,0.978450,99.97,DRIFT,48
155.0,-3625236.422,-5952495.489,1147385.639,-286.737,1591.307,7335.088,-0.014905,0.046452,0.026539,0.176412,0.077775,0.981239,99.97,DRIFT,48
156.0,-3625482.105,-5950836.832,1154707.493,-282.629,1598.028,7333.702,-0.015237,0.042753,0.027888,0.161723,0.077068,0.983822,99.97,DRIFT,48
157.0,-3625727.788,-5949178.175,1162029.346,-278.522,1604.749,7332.316,-0.015568,0.039054,0.029237,0.146937,0.076341,0.986195,99.97,DRIFT,48
158.0,-3625973.471,-5947519.518,1169351.200,-274.414,1611.470,7330.931,-0.015900,0.035355,0.030585,0.132064,0.075595,0.988354,99.97,DRIFT,48
159.0,-3626219.154,-5945860.860,1176673.054,-270.307,1618.191,7329.545,-0.016232,0.031656,0.031934,0.117114,0.074828,0.990295,99.97,DRIFT,48
160.0,-3626464.837,-5944202.203,1183994.908,-266.200,1624.912,7328.159,-0.016564,0.027957,0.033283,0.102094,0.074043,0.992015,99.97,DRIFT,48
161.0,-3626710.520,-5942543.546,1191316.762,-262.092,1631.632,7326.773,-0.016896,0.024258,0.034632,0.087017,0.073238,0.993511,99.97,DRIFT,48
162.0,-3626956.203,-5940884.889,1198638.615,-257.985,1638.353,7325.388,-0.017228,0.020559,0.035981,0.071892,0.072415,0.994780,99.97,DRIFT,48
163.0,-3627201.886,-5939226.231,1205960.469,-253.877,1645.074,7324.002,-0.017559,0.016860,0.037329,0.056729,0.071574,0.995821,99.97,DRIFT,48
